letter,ID,P1,P2
RMNC1,concatenate183,-52.77934647,-72.31060028
RMNC1,concatenate183,-84.26064301,-11.01845169
RMNC1,concatenate183,-56.51373672,-61.39654922
RMNC1,concatenate183,-126.1259384,-53.49410248
RMNC1,concatenate183,-105.9361496,-79.08068085
RMNC1,concatenate183,-98.34690857,-51.34984207
RMNC1,concatenate183,-78.34183502,-149.7529755
RMNC1,concatenate183,-125.443306,-30.22846413
RMNC1,concatenate183,-83.7225647,-77.00869751
RMNC1,concatenate183,-98.68421173,-61.45276642
RMNC1,concatenate183,-130.9846649,-79.10477448
RMNC1,concatenate183,-73.32249451,-50.12913895
RMNC1,concatenate183,-113.2443085,-61.97477722
RMNC1,concatenate183,-148.5884857,-97.31894684
RMNC1,concatenate183,-143.6092987,-62.43254089
RMNC1,concatenate183,-92.49235535,-19.86051941
RMNC1,concatenate183,-55.92747879,-54.0964241
RMNC1,concatenate183,-93.24726105,-50.52265549
RMNC1,concatenate183,-127.3546753,-26.0363121
RMNC1,concatenate183,-112.3930283,-14.73677826
RMNC1,concatenate183,-93.27135468,-15.14635563
RMNC1,concatenate183,-115.5090332,-47.1496582
RMNC1,concatenate183,-90.15534973,-19.35456848
RMNC1,concatenate183,-45.59165573,-26.06040573
RMNC1,concatenate183,-89.89836121,-93.56047058
RMNC1,concatenate183,-114.657753,-45.07767487
RMNC1,concatenate183,-92.46826172,-49.74365234
RMNC1,concatenate183,-75.45872498,-59.58958817
RMNC1,concatenate183,-84.70233917,-110.3371048
RMNC1,concatenate183,-128.5111237,-25.36171341
RMNC1,concatenate183,-79.59466553,-108.281189
RMNC1,concatenate183,-114.360611,-40.50806808
RMNC1,concatenate183,-54.78708267,-45.02145767
RMNC1,concatenate183,-82.66248322,-68.01404572
RMNC1,concatenate183,-74.86444092,-41.29510117
RMNC1,concatenate183,-104.0729752,-17.40305138
RMNC1,concatenate183,-111.324913,-49.06905365
RMNC1,concatenate183,-72.01345062,-11.5886488
RMNC1,concatenate183,-139.5054932,-36.96642303
RMNC1,concatenate183,-96.31508636,-51.75941849
RMNC1,concatenate183,-104.3620834,-44.54763412
RMNC1,concatenate183,-89.88230133,-76.45456696
RMNC1,concatenate183,-68.23088074,-16.96134949
RMNC1,concatenate183,-152.4353027,-12.05444336
RMNC1,concatenate183,-96.82102966,-29.6823597
RMNC1,concatenate183,-63.97447968,-7.822137356
