letter,ID,P1,P2
RM1,concatenate179,-93.54441071,-63.63718033
RM1,concatenate179,-98.12204742,-30.98337364
RM1,concatenate179,-30.40514565,-80.45397186
RM1,concatenate179,-46.7240181,-63.20351028
RM1,concatenate179,-73.85253906,-108.6425781
RM1,concatenate179,-56.24871445,-80.0524292
RM1,concatenate179,-12.19900036,-123.8933334
RM1,concatenate179,-80.12470245,-70.35907745
RM1,concatenate179,-85.02358246,-91.12709808
RM1,concatenate179,-100.3546448,-66.17495728
RM1,concatenate179,-57.4533577,-91.02268982
RM1,concatenate179,-61.81415939,-12.98603249
RM1,concatenate179,-74.76806641,-61.34033203
RM1,concatenate179,-23.6430912,-59.04348373
RM1,concatenate179,-78.20530701,-69.66038513
RM1,concatenate179,-26.58241653,-93.72109222
RM1,concatenate179,-114.0955887,-60.99500275
RM1,concatenate179,-42.77279663,-87.93881226
RM1,concatenate179,-26.63060188,-89.49681091
RM1,concatenate179,-76.11726379,-15.0821085
RM1,concatenate179,-70.19042969,-52.49023438
RM1,concatenate179,-47.55923462,-67.70083618
RM1,concatenate179,-36.80580521,-86.85463715
RM1,concatenate179,-44.13805389,-74.65563202
RM1,concatenate179,-33.01520157,-79.4019165
RM1,concatenate179,-75.53100586,-61.49291992
RM1,concatenate179,-23.44231796,-66.77728271
RM1,concatenate179,-41.43162918,-62.18358231
RM1,concatenate179,-28.56605911,-10.25551224
RM1,concatenate179,-36.57290649,-65.25942993
RM1,concatenate179,-46.64370728,-73.49917603
RM1,concatenate179,-5.453009129,-85.40906525
RM1,concatenate179,-59.22016525,-1.84711659
RM1,concatenate179,-25.7471981,-67.25110626
RM1,concatenate179,-70.68834686,-67.02623749
RM1,concatenate179,-57.87096405,-50.5467453
RM1,concatenate179,-4.746286392,-85.31269073
RM1,concatenate179,-77.52268219,-52.49826431
RM1,concatenate179,-20.57527161,-93.20710754
RM1,concatenate179,-67.37960052,-43.57588959
RM1,concatenate179,-137.8912659,-57.93521118
RM1,concatenate179,-16.96134949,-93.2552948
RM1,concatenate179,-44.36292267,-82.81507111
RM1,concatenate179,-71.67615509,-57.02771759
RM1,concatenate179,-66.85758972,-43.05387878
RM1,concatenate179,-12.48008347,-34.45273972
RM1,concatenate179,-64.39208984,-59.50927734
RM1,concatenate179,-97.12620544,-54.40159988
RM1,concatenate179,-93.44803619,-108.0964737
RM1,concatenate179,-90.66933441,-110.810936
RM1,concatenate179,-109.3171768,-102.6033096
RM1,concatenate179,-94.46796417,-70.05390167
RM1,concatenate179,-77.99650574,-91.42424011
RM1,concatenate179,-19.65974426,-100.8365021
RM1,concatenate179,-94.22703552,-81.40965271
RM1,concatenate179,-76.97657776,-75.14552307
RM1,concatenate179,-17.4271431,-70.52773285
RM1,concatenate179,-7.910477638,-86.03547668
RM1,concatenate179,-8.609169006,-83.68241119
RM1,concatenate179,-71.23445129,-70.62409973
RM1,concatenate179,-109.8873749,-67.1627655
RM1,concatenate179,-56.38524246,-61.87840652
RM1,concatenate179,-7.372404575,-70.23861694
RM1,concatenate179,-73.89269257,-62.90636444
RM1,concatenate179,-33.35250092,-76.07711029
RM1,concatenate179,-76.43047333,-35.53691483
RM1,concatenate179,-49.11723709,-54.61040115
RM1,concatenate179,-76.06907654,-43.72044754
RM1,concatenate179,-12.40780449,-64.28768921
RM1,concatenate179,-47.54317474,-51.20528412
RM1,concatenate179,-44.80462265,-67.99798584
RM1,concatenate179,-82.12441254,-49.16542435
RM1,concatenate179,-67.22701263,-50.13716888
RM1,concatenate179,-59.24425507,-42.76476288
RM1,concatenate179,-68.82517242,-56.0077858
RM1,concatenate179,-66.07859039,-53.26120377
RM1,concatenate179,-58.71421432,-22.09312057
RM1,concatenate179,-52.24930573,-37.60086823
RM1,concatenate179,-62.60118866,-83.96349335
RM1,concatenate179,-61.33230209,-47.90456772
RM1,concatenate179,-86.50127411,-44.99736404
RM1,concatenate179,-76.29394531,-17.70019531
RM1,concatenate179,-64.58483124,-62.14342499
RM1,concatenate179,-79.16902161,-42.54792786
RM1,concatenate179,-13.28317738,-54.78708267
RM1,concatenate179,-59.71005249,-76.79989624
RM1,concatenate179,-78.18924713,-33.02323151
RM3,25206015,-127.0575256,-55.03604126
RM3,25206015,-167.4611969,-46.61158371
RM3,25206015,-106.7553101,-93.93792725
RM3,25206015,-113.4531097,-27.39354134
RM3,25206015,-93.97808075,-51.86381912
RM3,25206015,-97.3832016,-64.42421722
RM3,25206015,-87.51316833,-25.86766243
RM3,25206015,-119.8216476,-57.56578827
RM3,25206015,-91.78562927,-80.79930115
