letter,ID,P1,P2,X,Y
TW1,21714032,-21.8232,-49.289,,
TW1,21714032,-50.9145,-27.1108,,
TW1,21714032,-32.4234,-55.0064,,
TW1,21714032,-17.3141,-10.6002,,
TW1,21714032,-38.2778,-21.7983,,
TW1,21714032,-20.3845,-2.6843,,
TW1,21714032,-3.31957,-11.2541,,
TW1,21714032,-1.39509,1.046317,,
TW1,21714032,-3.73685,-30.5923,,
TW1,21714032,-14.6173,-10.9552,,
TW1,21714032,-6.67027,-28.0326,,
TW1,21714032,-0.80965,-2.6407,,
TW1,21714032,-4.26,-42.7122,,
TW1,21714032,-2.37913,-32.8967,,
TW1,21714032,-22.9256,-2.78395,,
TW1,21714032,-5.20044,-0.92798,,
TW1,21714032,-4.62123,-28.4249,,
TW1,21714032,-15.975,-18.4164,,
TW1,21714032,-21.1879,-19.9672,,
TW1,21714032,-12.4998,-68.0417,,
TW1,21714032,-2.29193,-68.8203,,
TW1,21714032,-33.8185,-15.5079,,
TW1,21714032,-23.43,-3.28842,,
TW1,21714032,-35.8675,-45.0228,,
TW1,21714032,-3.49395,-2.27325,,
TW1,21714032,-36.4218,-16.2802,,
TW1,21714032,-2.24211,-15.0595,,
TW1,21714032,-16.112,-20.9948,,
TW1,21714032,-8.31448,-15.0283,,
TW1,21714032,-74.9487,-23.0688,,
TW1,21714032,-1.83105,-17.7002,,
TW1,21714032,-10.3012,-10.9116,,
TW1,21714032,-13.7018,-3.32579,,
TW1,21714032,-8.48887,-7.87852,,
TW1,21714032,-11.086,-21.462,,
TW1,21714032,-2.66562,-39.2867,,
TW1,21714032,-32.7348,-11.9828,,
TW1,21714032,-7.9408,-40.8998,,
TW1,21714032,-8.89992,-5.23781,,
TW1,21714032,-5.23781,-16.8345,,
TW1,21714032,-2.27325,-44.3875,,
TW1,21714032,-17.3639,-3.93614,,
TW1,21714032,-38.7636,-2.75281,,
TW1,21714032,-2.16737,-2.77772,,
TW1,21714032,-8.17747,-55.7849,,
TW1,21714032,-30.6297,-17.8123,,
TW1,21714032,-33.8807,-32.0497,,
TW1,21714032,-1.1086,-18.8088,,
TW1,21714032,-22.01,-15.2962,,
TW1,21714032,-2.27325,-8.98711,,
TW1,21714032,-4.73957,-3.51886,,
TW1,21714032,-2.56597,-18.4351,,
TW1,21714033,-32.4919,-26.9987,,
TW1,21714033,-31.2961,-20.3098,,
TW1,21714033,-65.1083,-35.8114,,
TW1,21714033,-9.88396,-10.4943,,
TW1,21714033,-34.6032,-71.2243,,
TW1,21714033,-13.6831,-19.7866,,
TW1,21714033,-9.56633,-21.163,,
TW1,21714033,-70.6638,-12.07,,
TW1,21714033,-80.4107,-5.33746,,
TW1,21714033,-40.0901,-62.0628,,
TW1,21714033,-34.7589,-40.2521,,
TW1,21714033,-9.95247,-53.8978,,
TW1,21714033,-35.5125,-13.5398,,
TW1,21714033,-63.1153,-8.79404,,
TW1,21714033,-13.0229,-53.9165,,
TW1,21714033,-36.7021,-39.7538,,
TW1,21714033,-19.7928,-57.6346,,
TW1,21714033,-39.3303,-51.5373,,
TW1,21714033,-55.5918,-9.2051,,
TW1,21714033,-61.7638,-10.4943,,
TW1,21714033,-40.1337,-14.499,,
TW1,21714033,-40.5136,-50.8896,,
TW1,21714033,-7.56711,-10.6189,,
TW1,21714033,-25.3234,-22.2716,,
TW1,21714033,-8.85633,-10.077,,
TW1,21714033,-17.258,-38.6203,,
TW1,21714033,-4.12922,-48.0745,,
TW1,21714033,-47.788,-41.0742,,
TW1,21714033,-13.9198,-33.451,,
TW1,21714033,-8.68194,-17.2269,,
TW1,21714033,-9.45422,-21.6613,,
TW1,21714033,3.188776,-9.62861,,
TW1,21714033,-4.02334,-14.3993,,
TW1,21714033,2.391582,6.053691,,
TW1,21714033,10.26387,13.92598,,
TW1,21714033,-0.21175,-3.87386,,
TW1,21714033,-6.64536,-31.6698,,
TW1,21714033,-15.5141,-41.7593,,
TW1,21714033,-3.97974,0.29272,,
TW1,21714033,-24.7566,-42.4568,,
TW1,21714033,-8.02799,2.958337,,
TW1,21714033,-12.3939,0.423509,,
TW1,21714033,-13.6831,-3.91746,,
TW1,21714033,-5.07588,29.10381,,
TW1,21714033,-63.4828,2.435178,,
TW1,21714033,-26.6188,-16.8532,,
TW1,21714033,-6.65781,-6.65781,,
TW1,21714033,-10.8431,-19.9984,,
TW1,21714033,-5.65509,15.09686,,
TW1,21714033,-2.77772,4.546496,,
TW2,21714050,-1.77062,-2.76453,,
TW2,21714050,-1.34156,-3.56338,,
TW2,21714050,-3.1001,-4.443,,
TW2,21714050,-2.65896,-4.16475,,
TW2,21714050,-3.0578,-1.57973,,
TW2,21714050,-3.29348,-1.97467,,
TW2,21714050,-4.36915,-4.29041,,
TW2,21714050,-3.76484,-2.27087,,
TW2,21714050,-4.07908,-3.11459,,
TW2,21714050,-5.34209,-3.95831,,
TW2,21714050,-1.67998,-1.92081,,
TW2,21714050,-3.42039,-1.02324,,
TW2,21714050,-2.88859,-1.40022,,
TW2,21714050,-16.8723,-26.8644,,
TW2,21714050,-7.10062,-17.8169,,
TW2,21714050,-27.1032,-5.83424,,
TW2,21714050,-23.145,-13.2931,,
TW2,21714050,-22.2748,-7.37807,,
TW2,21714050,-12.9201,-13.4457,,
TW2,21714050,-34.083,-14.3792,,
TW2,21714050,-19.8153,-15.1062,,
TW2,21714050,-15.9598,-8.50902,,
TW2,21714050,-7.53573,-14.0919,,
TW2,21714050,-26.511,-9.38864,,
TW2,21714050,-15.3797,-18.3195,,
TW2,21714050,-16.7091,-8.17692,,
TW2,21714050,-3.51708,-20.6173,,
TW2,21714050,-10.4062,-13.1585,,
TW2,21714050,-26.5956,-7.34217,,
TW2,21714050,-4.33289,-16.4436,,
TW2,21714050,-17.4826,-19.998,,
TW2,21714050,-4.53836,-33.9822,,
TW2,21714050,-9.4393,-7.7012,,
TW2,21714050,-11.0891,-20.7968,,
TW2,21714050,-13.6997,-23.9024,,
TW2,21714050,-5.66841,-23.2293,,
TW2,21714050,-17.7485,-28.5519,,
TW2,21714050,-14.2436,-9.4784,,
TW2,21714050,-25.8161,-5.13413,,
TW2,21714050,-0.50158,-11.866,,
TW2,21714050,-23.9125,-1.01426,,
TW2,21714050,-12.63,-31.7652,,
TW2,21714050,-12.2191,-18.2387,,
TW2,21714050,-10.8655,-24.3064,,
TW2,21714050,-16.6789,-5.24184,,
TW2,21714050,-7.84392,-12.5391,,
TW2,21714050,-10.8776,-20.9853,,
TW2,21714050,-11.6752,-14.792,,
TW2,21714050,-2.3568,-36.4326,,
TW2,21714050,-9.0465,0.727036,,
TW2,21714050,-14.9868,-15.1331,,
TW2,21714050,-9.99526,-10.5286,,
TW2,21714050,-14.9868,-15.3575,,
TW2,21714050,-4.38124,-24.9616,,
TW2,21714050,-3.26327,-19.98,,
TW2,21714050,-16.3465,-14.3971,,
TW2,21714050,-25.4656,-8.5539,,
TW2,21714050,-19.4527,-11.0492,,
TW2,21714050,-3.32974,-21.5508,,
TW2,21714050,-10.6056,-11.121,,
TW2,21714050,-10.3276,-10.8337,,
TW2,21714050,-6.30294,-3.5903,,
TW2,21714050,-2.33867,-18.2926,,
TW2,21714050,-13.6332,-15.3216,,
TW2,21714050,-23.9608,-16.4346,,
TW2,21714050,-2.75565,-1.68744,,
TW2,21714050,-3.83736,-1.37329,,
TW2,21714050,-5.78928,-15.5909,,
TW2,21714050,-17.537,-12.1352,,
TW2,21714050,-5.54151,-15.4114,,
TW2,21714050,-8.48449,-21.4521,,
TW2,21714050,-11.2039,-10.7709,,
TW2,21714050,-26.1363,-19.7826,,
TW2,21714050,-6.9435,-10.6542,,
TW2,21714050,-18.238,-1.56178,,
TW2,21714050,-4.56253,-2.01057,,
TW2,21714050,-3.03363,-6.17532,,
TW2,21714050,-6.30294,-19.8634,,
TW2,21714050,-10.0073,-20.1596,,
TW2,21714050,-5.45086,-15.1152,,
TW2,21714050,-15.0292,-12.0634,,
TW2,21714050,-28.0701,-15.5729,,
TW2,21714050,-29.46,-19.6928,,
TW2,21714050,-17.6156,-31.0561,,
TW2,21714050,-14.2073,-35.1401,,
TW2,21714050,-11.9653,-16.1564,,
TW2,21714050,-24.4685,-5.69961,,
TW2,21714050,-12.5031,-21.2456,,
TW2,21714050,-6.75013,-29.0545,,
TW2,21714050,-8.44823,-6.5523,,
TW2,21714050,-11.6934,-4.93667,,
TW2,21714050,-4.53836,-27.2325,,
TW2,21714050,-0.86416,-28.2557,,
TW2,21714050,-20.9272,-19.8723,,
TW2,21714050,-5.95244,-20.2403,,
TW2,21714050,-11.7357,-21.1648,,
TW2,21714050,-26.6863,-12.4584,,
TW2,21714050,-10.7748,-24.3692,,
TW2,21714050,-20.764,1.507927,,
TW2,21714050,-16.5278,-18.4811,,
TW2,21714050,-12.6844,-16.8116,,
TW2,21714050,-22.2325,-27.9954,,
TW2,21714050,-2.94298,-33.7848,,
TW2,21714050,-7.43299,-23.2293,,
TW2,21714050,-31.2367,-14.5138,,
TW2,21714050,-10.092,-14.5407,,
TW2,21714050,-12.2312,-34.3053,,
TW2,21714050,-15.6697,-16.9911,,
TW2,21714050,-14.7512,-20.9584,,
TW2,21714050,-11.1193,-7.405,,
TW2,21714050,-17.3799,-14.2804,,
TW2,21714050,-1.16027,-21.6047,,
TW2,21714050,-24.8915,-30.8676,,
TW2,21714050,-3.17262,-13.347,,
TW2,21714050,-17.8996,-20.6801,,
TW2,21714050,-34.2885,-7.48578,,
TW2,21714050,-9.41513,-29.3687,,
TW2,21714050,-16.0927,-27.9415,,
TW2,21714050,-10.376,-14.6125,,
TW2,21714050,-32.3486,-9.28991,,
TW2,21714050,-19.4829,-17.7002,,
TW2,21714052,-28.6684,-0.59222,,
TW2,21714052,-37.9143,-8.61744,,
TW2,21714052,-19.1626,-12.4488,,
TW2,21714052,-35.0559,-17.9661,,
TW2,21714052,-22.5347,-1.78271,,
TW2,21714052,-34.4395,-30.1671,,
TW2,21714052,-20.8486,-8.64161,,
TW2,21714052,-14.026,-14.026,,
TW2,21714052,-3.18471,-30.0402,,
TW2,21714052,-15.0292,-0.38071,,
TW2,21714052,-26.4022,-24.5712,,
TW2,21714052,-4.52627,-6.96768,,
TW2,21714052,-18.4858,-16.0444,,
TW2,21714052,-24.0696,-2.7073,,
TW2,21714052,-5.05806,-20.9272,,
TW2,21714052,-2.09695,-34.4456,,
TW2,21714052,-9.18549,-30.5478,,
TW2,21714052,-17.8754,-18.4858,,
TW2,21714052,-27.0005,-32.4937,,
TW2,21714052,-5.69259,-16.6789,,
TW2,21714052,-17.809,-29.4057,,
TW2,21714052,-9.16132,-30.5236,,
TW2,21714052,-14.9022,-8.18838,,
TW2,21714052,-41.4435,-12.757,,
TW2,21714052,-16.0021,-14.171,,
TW2,21714052,-16.0686,-30.1066,,
TW2,21714052,-15.7301,-30.3786,,
TW2,21714052,-4.29663,-11.6209,,
TW2,21714052,-10.2914,-24.3295,,
TW2,21714052,-14.5699,-31.6597,,
TW2,21714052,-36.4096,-33.9682,,
TW2,21714052,-33.7385,-18.4798,,
TW2,21714052,-14.0743,-34.2159,,
TW2,21714052,-46.2598,-32.2217,,
TW2,21714052,-36.4217,-24.825,,
TW2,21714052,-7.67472,-18.0507,,
TW2,21714052,-12.6421,-32.1734,,
TW2,21714052,-10.799,-27.8888,,
TW2,21714052,-38.0835,-10.6177,,
TW2,21714052,-23.4049,-31.3394,,
TW2,21714052,-36.186,-36.186,,
TW2,21714052,-6.56279,-33.4183,,
TW2,21714052,-29.2969,-10.9863,,
TW2,21714052,-11.6269,-45.8066,,
TW2,21714052,-13.8145,-23.5801,,
TW2,21714052,-33.0013,-15.3011,,
TW2,21714052,-26.644,-24.2026,,
TW2,21714052,-19.3741,-19.9845,,
TW2,21714052,-9.33657,-14.8297,,
TW2,21714052,-31.9679,-34.4093,,
TW2,21714052,-20.2202,-33.0375,,
TW2,21714052,-15.8994,-24.4443,,
TW2,21714052,-15.2165,-40.2409,,
TW2,21714052,-3.09406,-27.5081,,
TW2,21714052,-13.2223,-5.2877,,
TW2,21714052,-29.2425,-31.6839,,
TW2,21714052,-14.8358,-17.8875,,
TW2,21714052,-28.608,-26.1666,,
TW2,21714052,-17.7788,-23.2719,,
TW2,21714052,-23.2538,-45.8368,,
TW2,21714052,-13.18,-24.1663,,
TW2,21714052,-20.613,-23.6647,,
TW2,21714052,-14.3402,-12.5092,,
TW2,21714053,-11.9411,-11.9411,,
TW2,21714053,-9.05254,-9.05254,,
TW2,21714053,-16.9327,-16.9327,,
TW2,21714053,-9.4816,-9.4816,,
TW2,21714053,-4.97346,-4.97346,,
TW2,21714053,-7.81975,-7.81975,,
TW2,21714053,-19.0055,-19.0055,,
TW2,21714053,-9.08276,-9.08276,,
TW2,21714053,-11.3429,-11.3429,,
TW2,21714053,-12.0076,-12.0076,,
TW2,21714053,-7.19127,-7.19127,,
TW2,21714053,-13.881,-13.881,,
TW2,21714053,-9.07671,-9.07671,,
TW2,21714053,-9.86836,-9.86836,,
TW2,21714053,-9.43326,-9.43326,,
TW2,21714053,-17.4766,-17.4766,,
TW2,21714053,-27.2604,-27.2604,,
TW2,21714053,-6.22438,-6.22438,,
TW2,21714053,-14.0502,-14.0502,,
TW2,21714053,-20.2081,-20.2081,,
TW2,21714053,-15.1984,-15.1984,,
TW2,21714053,-5.50525,-5.50525,,
TW2,21714053,-7.05228,-7.05228,,
TW2,21714053,-12.6119,-12.6119,,
TW2,21714053,-24.97,-24.97,,
TW2,21714053,-21.5194,-21.5194,,
TW2,21714053,-16.2499,-16.2499,,
TW2,21714053,-33.6419,-33.6419,,
TW2,21714053,-5.12454,-5.12454,,
TW2,21714053,-16.1532,-16.1532,,
TW2,21714053,-13.4579,-13.4579,,
TW2,21714053,-2.49579,-2.49579,,
TW2,21714053,-18.8605,-18.8605,,
TW2,21714053,-14.2556,-14.2556,,
TW2,21714053,-2.05465,-2.05465,,
TW2,21714053,-1.62559,-1.62559,,
TW2,21714053,-20.0026,-20.0026,,
TW2,21714053,-2.50184,-2.50184,,
TW2,21714053,-3.80714,-3.80714,,
TW2,21714053,-6.47214,-6.47214,,
TW2,21714053,-10.1282,-10.1282,,
TW2,21714053,-18.8121,-18.8121,,
TW2,21714053,-13.8145,-13.8145,,
TW2,21714053,-27.2422,-27.2422,,
TW2,21714053,-23.1631,-23.1631,,
TW2,21714053,-3.90988,-3.90988,,
TW2,21714053,-17.5975,-17.5975,,
TW2,21714053,-3.50499,-3.50499,,
TW2,21714053,-24.97,-24.97,,
TW2,21714053,-3.17262,-3.17262,,
TW2,21714053,-9.46347,-9.46347,,
TW2,21714053,-20.903,-20.903,,
TW2,21714053,-13.8628,-13.8628,,
TW2,21714053,-17.8513,-17.8513,,
TW2,21714053,-12.5273,-12.5273,,
TW2,21714053,-2.73752,-2.73752,,
TW2,21714053,-11.6813,-11.6813,,
TW2,21714053,-8.60535,-8.60535,,
